x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.10.18,2022-10-18 0:00,ON,2022,10,18,5,,1.5,,8.5,,5,,5,,0,,0,,,,,,0,,13,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.10.19,2022-10-19 0:00,ON,2022,10,19,4.3,,2,,6.5,,8,,8,,0,,0,,,,,,0,,13.7,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.10.20,2022-10-20 0:00,ON,2022,10,20,4.8,,3,,6.5,,3.4,,3.4,,0,,0,,,,,,0,,13.2,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.10.21,2022-10-21 0:00,ON,2022,10,21,7.5,,0.5,,14.5,,0,,0,,0,,0,,,,,,0,,10.5,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.10.22,2022-10-22 0:00,ON,2022,10,22,14.3,,9.5,,19,,0,,0,,0,,0,,,,,,0,,3.7,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.10.23,2022-10-23 0:00,ON,2022,10,23,14.5,,9.5,,19.5,,0,,0,,0,,0,,,,,,0,,3.5,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.10.24,2022-10-24 0:00,ON,2022,10,24,13.3,,5,,21.5,,0,,0,,0,,0,,,,,,0,,4.7,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.10.25,2022-10-25 0:00,ON,2022,10,25,15.3,,10,,20.5,,0,,0,,0,,0,,,,,,0,,2.7,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.10.26,2022-10-26 0:00,ON,2022,10,26,16.5,,13,,20,,0,,0,,0,,0,,,,,,0,,1.5,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.10.27,2022-10-27 0:00,ON,2022,10,27,6.8,,3.5,,10,,0,,0,,0,,0,,,,,,0,,11.2,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.10.28,2022-10-28 0:00,ON,2022,10,28,4.8,,-0.5,,10,,0,,0,,0,,0,,,,,,0,,13.2,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.10.29,2022-10-29 0:00,ON,2022,10,29,7.3,,-1.5,,16,,0,,0,,0,,0,,,,,,0,,10.7,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.10.30,2022-10-30 0:00,ON,2022,10,30,8,,-0.5,,16.5,,0,,0,,0,,0,,,,,,0,,10,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.10.31,2022-10-31 0:00,ON,2022,10,31,10,,6.5,,13.5,,4,,4,,0,,0,,,,,,0,,8,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.11.1,2022-11-01 0:00,ON,2022,11,1,13.3,,10,,16.5,,0.8,,0.8,,0,,0,,,,,,0,,4.7,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.11.2,2022-11-02 0:00,ON,2022,11,2,10.3,,4,,16.5,,0,,0,,0,,0,,,,,,0,,7.7,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.11.3,2022-11-03 0:00,ON,2022,11,3,9.3,,2.5,,16,,0,,0,,0,,0,,,,,,0,,8.7,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.11.4,2022-11-04 0:00,ON,2022,11,4,12.8,,6,,19.5,,0,,0,,0,,0,,,,,,0,,5.2,,,,,
-76.69030167,44.42806333,HARTINGTON IHD,6103367,6103367.2022.11.5,2022-11-05 0:00,ON,2022,11,5,15,,8.5,,21.5,,6.4,,6.4,,0,,0,,,,,,0,,3,,,,,
