x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-86.28722222,48.60777778,PUKASKWA (AUT),6046768,6046768.2011.11.24,2011-11-24 0:00,ON,2011,11,24,5.5,,4.7,,6.3,,,M,,M,,M,,,0,,0,,0,,12.5,,,,,
-86.28722222,48.60777778,PUKASKWA (AUT),6046768,6046768.2011.11.25,2011-11-25 0:00,ON,2011,11,25,4.2,,0.1,,8.2,,0,,,M,,M,,,4,,37,,0,,13.8,,,,,
-86.28722222,48.60777778,PUKASKWA (AUT),6046768,6046768.2011.11.26,2011-11-26 0:00,ON,2011,11,26,-0.1,,-0.7,,0.5,,21.4,,,M,,M,,,7,,43,,0,,18.1,,,,,
-86.28722222,48.60777778,PUKASKWA (AUT),6046768,6046768.2011.11.27,2011-11-27 0:00,ON,2011,11,27,-4.4,,-8.1,,-0.7,,0,,,M,,M,,,0,,0,,0,,22.4,,,,,
-86.28722222,48.60777778,PUKASKWA (AUT),6046768,6046768.2011.11.28,2011-11-28 0:00,ON,2011,11,28,-3.2,,-8.8,,2.4,,0.3,,,M,,M,,,23,,43,,0,,21.2,,,,,
-86.28722222,48.60777778,PUKASKWA (AUT),6046768,6046768.2011.11.29,2011-11-29 0:00,ON,2011,11,29,-6,,-12.3,,0.3,,0,,,M,,M,,,36,,37,,0,,24,,,,,
-86.28722222,48.60777778,PUKASKWA (AUT),6046768,6046768.2011.11.30,2011-11-30 0:00,ON,2011,11,30,-6.2,,-13.1,,0.7,,0,,,M,,M,,,0,,0,,0,,24.2,,,,,
-86.28722222,48.60777778,PUKASKWA (AUT),6046768,6046768.2011.12.1,2011-12-01 0:00,ON,2011,12,1,-10.6,,-17.2,,-4,,0,,,M,,M,,,0,,0,,0,,28.6,,,,,
-86.28722222,48.60777778,PUKASKWA (AUT),6046768,6046768.2011.12.2,2011-12-02 0:00,ON,2011,12,2,-8.2,,-17.5,,1.1,,0,,,M,,M,,,19,,54,,0,,26.2,,,,,
-86.28722222,48.60777778,PUKASKWA (AUT),6046768,6046768.2011.12.3,2011-12-03 0:00,ON,2011,12,3,1.8,,0.2,,3.3,,5.2,,,M,3,,,,18,,54,,0,,16.2,,,,,
-86.28722222,48.60777778,PUKASKWA (AUT),6046768,6046768.2011.12.4,2011-12-04 0:00,ON,2011,12,4,-6.8,,-13.8,,0.2,,2.2,,0,,3,,4,,5,,35,,0,,24.8,,,,,
-86.28722222,48.60777778,PUKASKWA (AUT),6046768,6046768.2011.12.5,2011-12-05 0:00,ON,2011,12,5,-16.9,,-20.1,,-13.6,,0,,,M,,M,3,,6,,35,,0,,34.9,,,,,
-86.28722222,48.60777778,PUKASKWA (AUT),6046768,6046768.2011.12.6,2011-12-06 0:00,ON,2011,12,6,-12.7,,-23.2,,-2.1,,0.3,,0,,1,,3,,25,,48,,0,,30.7,,,,,
-86.28722222,48.60777778,PUKASKWA (AUT),6046768,6046768.2011.12.7,2011-12-07 0:00,ON,2011,12,7,-3.3,,-5.8,,-0.7,,0.4,,,M,1,,4,,25,,52,,0,,21.3,,,,,
