x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.11,2024-06-11 0:00,ON,2024,6,11,12,,-0.5,,24.4,,0,,,,,,,,20,,37,,0,,6,,24,,97,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.12,2024-06-12 0:00,ON,2024,6,12,18.3,,12.4,,24.3,,5.5,,,,,,,,23,,62,,0.3,,0,,39,,95,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.13,2024-06-13 0:00,ON,2024,6,13,12.9,,6.8,,18.9,,0.3,,,,,,,,1,,35,,0,,5.1,,55,,99,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.14,2024-06-14 0:00,ON,2024,6,14,8.8,,2,,15.6,,0,,,,,,,,33,,36,,0,,9.2,,35,,95,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.15,2024-06-15 0:00,ON,2024,6,15,11.7,,1.1,,22.3,,0,,,,,,,,19,,39,,0,,6.3,,45,,96,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.16,2024-06-16 0:00,ON,2024,6,16,15.8,,14.1,,17.5,,2.4,,,,,,,,17,,42,,0,,2.2,,61,,96,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.17,2024-06-17 0:00,ON,2024,6,17,19.1,,12.1,,26,,0,,,,,,,,24,,34,,1.1,,0,,38,,95,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.18,2024-06-18 0:00,ON,2024,6,18,20.6,,9.2,,32,,0,,,,,,,,22,,51,,2.6,,0,,47,,98,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.19,2024-06-19 0:00,ON,2024,6,19,17.8,,10.5,,25.1,,1.2,,,,,,,,27,,49,,0,,0.2,,55,,94,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.20,2024-06-20 0:00,ON,2024,6,20,14.9,,6.3,,23.6,,0,,,,,,,,,,,,0,,3.1,,33,,96,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.21,2024-06-21 0:00,ON,2024,6,21,17.3,,7.8,,26.8,,0,,,,,,,,,,,,0,,0.7,,28,,96,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.22,2024-06-22 0:00,ON,2024,6,22,18.2,,9.5,,26.9,,0,,,,,,,,,,,,0.2,,0,,33,,95,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.23,2024-06-23 0:00,ON,2024,6,23,19.2,,10.7,,27.6,,0,,,,,,,,3,,31,,1.2,,0,,25,,91,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.24,2024-06-24 0:00,ON,2024,6,24,19.8,,10.2,,29.4,,0,,,,,,,,26,,49,,1.8,,0,,22,,95,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.25,2024-06-25 0:00,ON,2024,6,25,18.7,,9.1,,28.2,,2.9,,,,,,,,30,,63,,0.7,,0,,30,,96,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.26,2024-06-26 0:00,ON,2024,6,26,9.7,,3.6,,15.8,,0,,,,,,,,,,,,0,,8.3,,41,,97,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.27,2024-06-27 0:00,ON,2024,6,27,10.4,,1.2,,19.7,,0,,,,,,,,33,,37,,0,,7.6,,36,,98,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.28,2024-06-28 0:00,ON,2024,6,28,12.1,,7.9,,16.2,,10.1,,,,,,,,,,,,0,,5.9,,60,,98,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.29,2024-06-29 0:00,ON,2024,6,29,9.7,,7.1,,12.3,,10.3,,,,,,,,2,,36,,0,,8.3,,95,,99,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.6.30,2024-06-30 0:00,ON,2024,6,30,14.7,,5.6,,23.7,,0,,,,,,,,,,,,0,,3.3,,37,,97,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.7.1,2024-07-01 0:00,ON,2024,7,1,19.2,,12.7,,25.6,,0,,,,,,,,27,,36,,1.2,,0,,31,,67,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.7.2,2024-07-02 0:00,ON,2024,7,2,17.3,,12,,22.6,,0.2,,,,,,,,19,,60,,0,,0.7,,45,,85,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.7.3,2024-07-03 0:00,ON,2024,7,3,18.7,,13.9,,23.5,,6.5,,,,,,,,23,,54,,0.7,,0,,61,,96,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.7.4,2024-07-04 0:00,ON,2024,7,4,17.3,,11.1,,23.5,,0,,,,,,,,30,,32,,0,,0.7,,53,,93,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.7.5,2024-07-05 0:00,ON,2024,7,5,16.2,,9,,23.4,,0,,,,,,,,,,,,0,,1.8,,37,,98,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.7.6,2024-07-06 0:00,ON,2024,7,6,17.4,,7.1,,27.7,,0,,,,,,,,,,,,0,,0.6,,33,,97,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.7.7,2024-07-07 0:00,ON,2024,7,7,20.5,,11.6,,29.5,,0,,,,,,,,24,,32,,2.5,,0,,37,,95,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.7.8,2024-07-08 0:00,ON,2024,7,8,19.5,,12.9,,26,,0.8,,,,,,,,,,,,1.5,,0,,60,,97,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.7.9,2024-07-09 0:00,ON,2024,7,9,21.1,,15.9,,26.4,,0.4,,,,,,,,27,,31,,3.1,,0,,39,,99,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.7.10,2024-07-10 0:00,ON,2024,7,10,15,,8.2,,21.9,,0,,,,,,,,2,,32,,0,,3,,49,,98,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.7.11,2024-07-11 0:00,ON,2024,7,11,15.8,,5.1,,26.5,,0,,,,,,,,,,,,0,,2.2,,31,,98,
-84.16369444,49.74683333,NAGAGAMI (AUT),6075543,6075543.2024.7.12,2024-07-12 0:00,ON,2024,7,12,20.9,,11.8,,30,,2.2,,,,,,,,36,,33,,2.9,,0,,44,,99,
