x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.7,2016-01-07 0:00,ON,2016,1,7,-8.1,,-12.1,,-4.1,,,M,,M,,M,,,0,,0,,0,,26.1,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.8,2016-01-08 0:00,ON,2016,1,8,-11.3,,-17.8,,-4.8,,,M,,M,,M,,,0,,0,,0,,29.3,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.9,2016-01-09 0:00,ON,2016,1,9,-23.5,,-29.1,,-17.8,,,M,,M,,M,,,0,,0,,0,,41.5,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.10,2016-01-10 0:00,ON,2016,1,10,-23.9,,-29.8,,-17.9,,,M,,M,,M,,,26,,63,,0,,41.9,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.11,2016-01-11 0:00,ON,2016,1,11,-22.7,,-26.7,,-18.7,,,M,,M,,M,,,0,,0,,0,,40.7,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.12,2016-01-12 0:00,ON,2016,1,12,-23.5,,-27.9,,-19,,,M,,M,,M,,,0,,0,,0,,41.5,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.13,2016-01-13 0:00,ON,2016,1,13,-22.2,,-25.8,,-18.5,,,M,,M,,M,,,0,,0,,0,,40.2,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.14,2016-01-14 0:00,ON,2016,1,14,-19.3,,-23.4,,-15.1,,,M,,M,,M,,,0,,0,,0,,37.3,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.15,2016-01-15 0:00,ON,2016,1,15,-20.4,,-24.7,,-16,,,M,,M,,M,,,0,,0,,0,,38.4,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.16,2016-01-16 0:00,ON,2016,1,16,-25.6,,-29.4,,-21.8,,,M,,M,,M,,,30,,33,,0,,43.6,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.17,2016-01-17 0:00,ON,2016,1,17,-25.8,,-31,,-20.6,,,M,,M,,M,,,0,,0,,0,,43.8,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.18,2016-01-18 0:00,ON,2016,1,18,-22.3,,-27.5,,-17,,,M,,M,,M,,,0,,0,,0,,40.3,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.19,2016-01-19 0:00,ON,2016,1,19,-20.6,,-27,,-14.1,,,M,,M,,M,,,0,,0,,0,,38.6,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.20,2016-01-20 0:00,ON,2016,1,20,-14,,-17.2,,-10.7,,,M,,M,,M,,,0,,0,,0,,32,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.21,2016-01-21 0:00,ON,2016,1,21,-11.3,,-12.8,,-9.8,,,M,,M,,M,,,0,,0,,0,,29.3,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.22,2016-01-22 0:00,ON,2016,1,22,-11.1,,-12.5,,-9.7,,,M,,M,,M,,,17,,33,,0,,29.1,,,,,
-94.76305556,49.46861111,ROYAL ISLAND (AUT),6037201,6037201.2016.1.23,2016-01-23 0:00,ON,2016,1,23,-7.4,,-10,,-4.7,,,M,,M,,M,,,17,,41,,0,,25.4,,,,,
