x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.2013.9.17,2013-09-17 0:00,ON,2013,9,17,9.4,,2.8,,15.9,,0,,0,,0,,0,,0,,0,,0,,8.6,,56,,99,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.2013.9.18,2013-09-18 0:00,ON,2013,9,18,13.4,,5,,21.8,,0,,0,,0,,0,,0,,0,,0,,4.6,,40,,99,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.2013.9.19,2013-09-19 0:00,ON,2013,9,19,15.2,,7.9,,22.4,,0,,0,,0,,0,,0,,0,,0,,2.8,,67,,100,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.2013.9.20,2013-09-20 0:00,ON,2013,9,20,19.3,,15.3,,23.3,,17.6,,17.6,,0,,0,,18,E,35,E,1.3,,0,,78,,100,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.2013.9.21,2013-09-21 0:00,ON,2013,9,21,14.7,,9.5,,19.8,,24.2,,24.2,,0,,0,,27,E,32,E,0,,3.3,,81,,100,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.2013.9.22,2013-09-22 0:00,ON,2013,9,22,10,,7.1,,12.8,,0,T,0,T,0,,0,,31,E,32,E,0,,8,,57,,93,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.2013.9.23,2013-09-23 0:00,ON,2013,9,23,11,,5.7,,16.2,,0,,0,,0,,0,,0,,0,,0,,7,,50,,93,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.2013.9.24,2013-09-24 0:00,ON,2013,9,24,11.5,,4.3,,18.7,,0,,0,,0,,0,,0,,0,,0,,6.5,,42,,98,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.2013.9.25,2013-09-25 0:00,ON,2013,9,25,14.4,,6.8,,21.9,,0,,0,,0,,0,,0,,0,,0,,3.6,,42,,97,
-79.37,43.86222222,TORONTO BUTTONVILLE A,615HMAK,615HMAK.2013.9.26,2013-09-26 0:00,ON,2013,9,26,15.6,,7.9,,23.2,,0,,0,,0,,0,,0,,0,,0,,2.4,,41,,95,
